source,mapped_lines,covered_lines,coverage_percent
splittypie/adapters/offline/application.js,4,4,100.000000
splittypie/adapters/offline/currency.js,2,2,100.000000
splittypie/adapters/offline/transaction.js,11,10,90.909091
splittypie/adapters/online/application.js,2,2,100.000000
splittypie/adapters/online/currency.js,2,2,100.000000
splittypie/app.js,9,9,100.000000
splittypie/components/-lf-get-outlet-state.js,7,7,100.000000
splittypie/components/add-transaction-button.js,7,7,100.000000
splittypie/components/back-button.js,10,10,100.000000
splittypie/components/base-form.js,27,21,77.777778
splittypie/components/calendar-page.js,16,16,100.000000
splittypie/components/content-backdrop.js,7,7,100.000000
splittypie/components/date-picker.js,35,35,100.000000
splittypie/components/ember-notify.js,2,2,100.000000
splittypie/components/ember-notify/message.js,2,2,100.000000
splittypie/components/ember-wormhole.js,7,7,100.000000
splittypie/components/event-form.js,25,23,92.000000
splittypie/components/event-url.js,15,14,93.333333
splittypie/components/illiquid-model.js,7,1,14.285714
splittypie/components/liquid-bind.js,7,7,100.000000
splittypie/components/liquid-child.js,7,7,100.000000
splittypie/components/liquid-container.js,7,7,100.000000
splittypie/components/liquid-if.js,7,1,14.285714
splittypie/components/liquid-measured.js,13,1,7.692308
splittypie/components/liquid-outlet.js,7,7,100.000000
splittypie/components/liquid-spacer.js,7,1,14.285714
splittypie/components/liquid-sync.js,7,1,14.285714
splittypie/components/liquid-unless.js,7,1,14.285714
splittypie/components/liquid-versions.js,7,7,100.000000
splittypie/components/mobile-toolbar.js,8,8,100.000000
splittypie/components/modal-dialog.js,27,27,100.000000
splittypie/components/my-checkbox-list.js,31,29,93.548387
splittypie/components/my-select.js,47,47,100.000000
splittypie/components/nav-link-to.js,6,6,100.000000
splittypie/components/onboarding-transaction-add.js,5,5,100.000000
splittypie/components/pikaday-input.js,2,2,100.000000
splittypie/components/pikaday-inputless.js,7,1,14.285714
splittypie/components/previous-events.js,51,18,35.294118
splittypie/components/quick-add-form.js,69,67,97.101449
splittypie/components/scroll-to.js,53,44,83.018868
splittypie/components/settlement-transfer-list.js,56,56,100.000000
splittypie/components/side-menu-link-to.js,7,7,100.000000
splittypie/components/side-menu-toggle-custom.js,5,5,100.000000
splittypie/components/side-menu-toggle.js,7,1,14.285714
splittypie/components/side-menu.js,7,7,100.000000
splittypie/components/switch-event-dropdown.js,15,15,100.000000
splittypie/components/switch-user-dropdown.js,18,18,100.000000
splittypie/components/transaction-form.js,15,15,100.000000
splittypie/components/transaction-list-header.js,16,16,100.000000
splittypie/components/transaction-list-item.js,16,16,100.000000
splittypie/components/transaction-list.js,39,39,100.000000
splittypie/components/transfer-form.js,5,1,20.000000
splittypie/components/user-balance-list-item.js,8,8,100.000000
splittypie/components/user-balance-list.js,10,10,100.000000
splittypie/components/user-form.js,17,17,100.000000
splittypie/components/user-list.js,22,22,100.000000
splittypie/controllers/array.js,2,1,50.000000
splittypie/controllers/event/transactions/new.js,5,5,100.000000
splittypie/controllers/object.js,2,1,50.000000
splittypie/ember-cli-test-model-waiter/tests/template-deprecations-test.js,1,1,100.000000
splittypie/forms/event.js,39,39,100.000000
splittypie/forms/expense.js,32,32,100.000000
splittypie/forms/form-object.js,62,62,100.000000
splittypie/forms/transfer.js,20,13,65.000000
splittypie/forms/user.js,22,22,100.000000
splittypie/helpers/any.js,18,18,100.000000
splittypie/helpers/app-version.js,7,7,100.000000
splittypie/helpers/format-money.js,2,2,100.000000
splittypie/helpers/format-number.js,2,1,50.000000
splittypie/helpers/inline-svg.js,28,27,96.428571
splittypie/helpers/is-equal.js,11,11,100.000000
splittypie/helpers/is-included.js,14,12,85.714286
splittypie/helpers/is-not.js,10,10,100.000000
splittypie/helpers/lf-lock-model.js,13,11,84.615385
splittypie/helpers/lf-or.js,13,11,84.615385
splittypie/helpers/pluralize.js,2,2,100.000000
splittypie/helpers/print-month-year.js,17,16,94.117647
splittypie/helpers/read-path.js,15,15,100.000000
splittypie/helpers/route-action.js,7,7,100.000000
splittypie/helpers/singularize.js,2,1,50.000000
splittypie/helpers/transition-to.js,29,1,3.448276
splittypie/initializers/app-version.js,8,8,100.000000
splittypie/initializers/connection.js,12,12,100.000000
splittypie/initializers/container-debug-adapter.js,9,9,100.000000
splittypie/initializers/data-adapter.js,12,12,100.000000
splittypie/initializers/ember-data.js,36,36,100.000000
splittypie/initializers/emberfire.js,2,2,100.000000
splittypie/initializers/export-application-global.js,38,35,92.105263
splittypie/initializers/extensions.js,20,20,100.000000
splittypie/initializers/forms.js,14,14,100.000000
splittypie/initializers/injectStore.js,12,12,100.000000
splittypie/initializers/liquid-fire.js,6,6,100.000000
splittypie/initializers/offline-support.js,34,32,94.117647
splittypie/initializers/remember-scroll.js,10,10,100.000000
splittypie/initializers/repositories.js,10,10,100.000000
splittypie/initializers/rollbar.js,36,36,100.000000
splittypie/initializers/side-menu.js,13,11,84.615385
splittypie/initializers/store.js,12,12,100.000000
splittypie/initializers/transforms.js,12,12,100.000000
splittypie/initializers/user-context.js,11,11,100.000000
splittypie/instance-initializers/ember-data.js,5,5,100.000000
splittypie/instance-initializers/syncer.js,11,11,100.000000
splittypie/instance-initializers/test-model-waiter.js,13,11,84.615385
splittypie/mixins/model-mixin.js,60,14,23.333333
splittypie/mixins/remember-scroll.js,25,25,100.000000
splittypie/mixins/reset-scroll.js,8,1,12.500000
splittypie/models/currency.js,16,16,100.000000
splittypie/models/event.js,13,13,100.000000
splittypie/models/sync-job.js,10,10,100.000000
splittypie/models/transaction.js,27,26,96.296296
splittypie/models/user.js,22,22,100.000000
splittypie/repositories/event.js,59,42,71.186441
splittypie/repositories/transaction.js,40,27,67.500000
splittypie/resolver.js,2,2,100.000000
splittypie/router.js,24,24,100.000000
splittypie/routes/application.js,67,60,89.552239
splittypie/routes/error.js,17,1,5.882353
splittypie/routes/event.js,111,92,82.882883
splittypie/routes/event/edit.js,53,41,77.358491
splittypie/routes/event/index.js,37,21,56.756757
splittypie/routes/event/transactions.js,9,9,100.000000
splittypie/routes/event/transactions/edit.js,41,28,68.292683
splittypie/routes/event/transactions/new.js,53,53,100.000000
splittypie/routes/event/who-are-you.js,17,17,100.000000
splittypie/routes/index.js,8,8,100.000000
splittypie/routes/new.js,47,45,95.744681
splittypie/serializers/localforage.js,2,2,100.000000
splittypie/serializers/offline/event.js,8,8,100.000000
splittypie/serializers/online/event.js,11,1,9.090909
splittypie/services/ajax.js,7,7,100.000000
splittypie/services/connection.js,30,22,73.333333
splittypie/services/firebase-app.js,2,1,50.000000
splittypie/services/firebase.js,2,2,100.000000
splittypie/services/form-factory.js,13,13,100.000000
splittypie/services/job-processor.js,54,42,77.777778
splittypie/services/liquid-fire-transitions.js,2,2,100.000000
splittypie/services/local-storage.js,43,32,74.418605
splittypie/services/modal.js,19,6,31.578947
splittypie/services/notify.js,2,2,100.000000
splittypie/services/online-store.js,18,18,100.000000
splittypie/services/side-menu.js,7,7,100.000000
splittypie/services/store.js,11,11,100.000000
splittypie/services/sync-queue.js,83,69,83.132530
splittypie/services/syncer.js,191,115,60.209424
splittypie/services/user-context.js,24,22,91.666667
splittypie/services/user-country-code.js,25,21,84.000000
splittypie/svgs.js,16,16,100.000000
splittypie/templates/application.js,2,2,100.000000
splittypie/templates/components/add-transaction-button.js,2,2,100.000000
splittypie/templates/components/back-button.js,2,2,100.000000
splittypie/templates/components/calendar-page.js,2,2,100.000000
splittypie/templates/components/date-picker.js,2,2,100.000000
splittypie/templates/components/event-form.js,2,2,100.000000
splittypie/templates/components/mobile-toolbar.js,2,2,100.000000
splittypie/templates/components/modal-dialog.js,2,2,100.000000
splittypie/templates/components/my-checkbox-list.js,2,2,100.000000
splittypie/templates/components/my-select.js,2,2,100.000000
splittypie/templates/components/nav-link-to.js,2,2,100.000000
splittypie/templates/components/onboarding-transaction-add.js,2,2,100.000000
splittypie/templates/components/previous-events.js,2,2,100.000000
splittypie/templates/components/quick-add-form.js,2,2,100.000000
splittypie/templates/components/scroll-to.js,2,2,100.000000
splittypie/templates/components/settlement-transfer-list.js,2,2,100.000000
splittypie/templates/components/side-menu-toggle-custom.js,2,2,100.000000
splittypie/templates/components/side-menu-toggle.js,2,1,50.000000
splittypie/templates/components/side-menu.js,2,2,100.000000
splittypie/templates/components/switch-event-dropdown.js,2,2,100.000000
splittypie/templates/components/switch-user-dropdown.js,2,2,100.000000
splittypie/templates/components/transaction-form.js,2,2,100.000000
splittypie/templates/components/transaction-list-header.js,2,2,100.000000
splittypie/templates/components/transaction-list-item.js,2,2,100.000000
splittypie/templates/components/transaction-list.js,2,2,100.000000
splittypie/templates/components/transfer-form.js,2,1,50.000000
splittypie/templates/components/user-balance-list-item.js,2,2,100.000000
splittypie/templates/components/user-balance-list.js,2,2,100.000000
splittypie/templates/components/user-form.js,2,2,100.000000
splittypie/templates/components/user-list.js,2,2,100.000000
splittypie/templates/error.js,2,1,50.000000
splittypie/templates/event.js,2,2,100.000000
splittypie/templates/event/edit.js,2,2,100.000000
splittypie/templates/event/index.js,2,2,100.000000
splittypie/templates/event/transactions.js,2,2,100.000000
splittypie/templates/event/transactions/edit.js,2,2,100.000000
splittypie/templates/event/transactions/new.js,2,2,100.000000
splittypie/templates/event/who-are-you.js,2,2,100.000000
splittypie/templates/index.js,2,2,100.000000
splittypie/templates/modals/confirm.js,2,1,50.000000
splittypie/templates/modals/quick-add.js,2,2,100.000000
splittypie/templates/modals/remove-previous-event.js,2,1,50.000000
splittypie/templates/modals/settle-up.js,2,2,100.000000
splittypie/templates/modals/share.js,2,2,100.000000
splittypie/templates/new.js,2,2,100.000000
splittypie/templates/not-found.js,2,1,50.000000
splittypie/templates/shared/brand.js,2,2,100.000000
splittypie/templates/shared/errors/not-found.js,2,1,50.000000
splittypie/templates/shared/errors/unknown.js,2,1,50.000000
splittypie/templates/shared/footer.js,2,2,100.000000
splittypie/templates/shared/navbar.js,2,2,100.000000
splittypie/torii-providers/firebase.js,2,1,50.000000
splittypie/transitions.js,4,4,100.000000
splittypie/transitions/cross-fade.js,7,1,14.285714
splittypie/transitions/default.js,7,7,100.000000
splittypie/transitions/explode.js,7,1,14.285714
splittypie/transitions/fade.js,7,1,14.285714
splittypie/transitions/flex-grow.js,7,1,14.285714
splittypie/transitions/fly-to.js,7,1,14.285714
splittypie/transitions/move-over.js,7,1,14.285714
splittypie/transitions/scale.js,7,1,14.285714
splittypie/transitions/scroll-then.js,7,1,14.285714
splittypie/transitions/to-down.js,7,1,14.285714
splittypie/transitions/to-left.js,7,7,100.000000
splittypie/transitions/to-right.js,7,7,100.000000
splittypie/transitions/to-up.js,7,1,14.285714
splittypie/transitions/wait.js,7,1,14.285714
splittypie/utils/country-to-currency-code.js,46,46,100.000000
splittypie/utils/generate-base-58.js,10,1,10.000000
splittypie/utils/generate-unique-id.js,57,57,100.000000
splittypie/utils/is-mobile.js,6,6,100.000000
splittypie/utils/left-pad.js,5,5,100.000000
splittypie/utils/parse-transaction.js,49,41,83.673469
splittypie/validators/alias.js,7,1,14.285714
splittypie/validators/array.js,22,1,4.545455
splittypie/validators/belongs-to.js,7,1,14.285714
splittypie/validators/collection.js,7,1,14.285714
splittypie/validators/confirmation.js,7,1,14.285714
splittypie/validators/date.js,7,1,14.285714
splittypie/validators/dependent.js,7,1,14.285714
splittypie/validators/ds-error.js,7,1,14.285714
splittypie/validators/exclusion.js,7,1,14.285714
splittypie/validators/format.js,7,1,14.285714
splittypie/validators/has-many.js,7,7,100.000000
splittypie/validators/inclusion.js,7,1,14.285714
splittypie/validators/length.js,7,7,100.000000
splittypie/validators/messages.js,11,11,100.000000
splittypie/validators/number.js,7,7,100.000000
splittypie/validators/presence.js,7,7,100.000000
